authorId,firstName,lastName
1405705670,R.,Al-Ruzouq
1421225679,Diena,Al Dogom
1420349782,Meera,Al Shamsi
1421229597,Alya,Al Mazzm
73768642,N.,Aburaed
66924764,S.,Ishida
90515359,Hitomi,Katada
28076690,Shinobu,Miyahara
90418983,Shitomi,Hasegawa
2204340369,Amira,Bourechak
1873244,Ouarda,Zedadra
3401692,M.,N. Kouahla
143627888,Antonio,Guerrieri
1392623159,Hamid,Seridi
1691577,G.,Fortino
2326702387,Talent,Kondo
2339865312,Simba,Mutsvanga
2339867326,Tonderai,Kanyekanye
2387207278,Haokai,Pan
2317881681,Shengli,Cui
15796066,H.,DuBrock
2276033908,Arun,Jose
2287302381,Sarah,Arendse
2321841718,Nicolas,Martin
2287317742,Sean,Studer
2278030504,Daniel,Rosenberg
2318282378,Zhaobin,Li
2372335541,Zheng,Ju
2185024098,Hong,Zhao
2183003357,Zhanzhen,Wei
2372333633,Gongjian,Lan
2300943269,Veroneka,Yosefpa Windahandayani
2044631111,Keristina,Ajul
2222391103,Vincencius,Surani
2256573343,Na,Li
2255771734,Yumei,Wang
2055098652,Meng,Cui
2384798560,J.,Osowicki
4298304,C.,Blyth
3541316,P.,Britton
2107297066,J.,Clark
153622813,C.,Cooper
34997665,G.,Haeusler
4094522,B.,McMullan
40344727,P.,Bryant
48637151,L.,Benson
144298226,M.,Zaheri
15055495,A.,Katayev
2602334,James,K. Fleming
8282685,M.,Maggi
4446162,S.,Salciccia
4463728,F.,del Giudice
2285184521,G.,Busetto
21459988,U.,Falagario
2402742,G.,Carrieri
46645069,M.,Ferro
7810889,A.,Porreca
7541706,G.,D. Di Pierro
2302538781,Vittorio,Fasulo
2133342153,V.,Frantellizzi
67151379,G.,de Vincentis
2894378,E.,De Berardinis
5533955,A.,Sciarra
2876317,E.,Aidoo
50639634,U.,Mueller
2289987,P.,Goovaerts
6805162,G.,Hyndes
2330332799,Shanta,Kumari B
11288719,P.,Baisakh
2270462998,Vinayak,Ganesh Bhat
143820828,Sujita,Pradhan
2221771954,D.,K. Panda
2337558063,Lely,Nurjanti
2188203361,Yihays,Fente Tarekegn
2108752703,Weifeng,Li
11757813,Huilin,Xiao
79691820,Noura,Abouammoh
4556543,F.,Irfan
2082595356,Eiad,A. Alfaris
6805207,S.,Ringmark
37562435,A.,Skarin
47639245,A.,Jansson
2335988098,Fariz,Refzal
67136947,E.,Suryani
113889446,Fitri,Yunina
48703311,H.,Voigt
1576539258,Carson,Duan
51007938,Junli,Zhu
153928346,Xinrui,Song
2741160,D.,Korpas
2239227367,Michaela,Tanzerová
2187263616,Fitria,Helmiza
51149567,Kunpeng,Zhang
144681847,Ning,Jia
144802395,Liang,Zheng
49292814,Zijian,Liu
31288263,Timothy,Malche
49515644,Priti,Maheshwary
2261415777,Pradeep,Kumar Tiwari
2268497521,A.,Alkhayyat
