from,to,type
0001147c55f3dc487d3a561bff8f0bbcb84f6468,af7ea8ffd0a612ecadfe0f1cd1abaaecf943945a,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,050290d5e55267439b82a2544d8d0a60284184c2,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,0717e6c04dc2fef4de85c974145d37e29d924c62,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,d5febf0fe453532e6da197feddedbf9339b4ced9,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,7b9a916a34f4012a37333dec3b55c467214655ec,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,64711efeebe8786ec54b51dc89cd7ed5b4501388,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,bb4cebd9d804c2a5fb1421136f3c93583dbac19f,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,8e62b538c47529b8b67a69b3fa325894f00f61cc,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,3341117e00f21d2a529ebb2c6d7cdd85dbd8c189,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,c8b61801afa610497cda2f73ed43929e8108a291,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,4e33bbae3e506a23a73f3646d194f562e148503b,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,752bfdd9d4119920db913a9edf8df23a20af7953,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,df3bdcee22f5ed0f715a7c11e66b1b9cfcad1c32,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,fef864e28d699f3bcdc66663e67edf6fd240e492,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,732aa28e02c1e16002dd9b9e8a6cd0e61e54f640,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,dfb273bd868c23640dff6ac635821ca1e0c8db12,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,1c7d077a1a9fa42cf6d09d30176a7771fd2f8c36,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,1e5d52d514cf060dda67a8b922bd6da454d27c20,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,022fe31edcfbff9cd661c8065e67be15e45d16cd,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,1b90e47891a8dfa85079e8a0c9b3c60943a606dd,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,c61b722f8645d391711f08943c617c69af887917,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,a24f725b99aa56763192486fc8a23c5e4e3d93ab,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,28011756db7c3a12b9fa4c9862a40b778dcd24d4,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,9dad62a1bde07e12135713c0721f12d2a307ddb5,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,1bf0b3f960462f9aa5814a0856ad44e3d1ddad18,CITES
